               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.080476,            0.091518,                   0,            0.067072,             0.36825,            0.046268,             0.01179,            0.099186,             0.14552,                   0,            0.030121,           0.0071207,           0.0071207
                  39,            0.092285,            0.087298,                   0,            0.067072,             0.36825,            0.046268,             0.01179,            0.099186,             0.14552,                   0,             0.02829,             0.00729,             0.00729
                  40,            0.086006,            0.085681,                   0,             0.16418,             0.30159,             0.11362,            0.034914,            0.089282,             0.17857,                   0,            0.026458,           0.0074585,           0.0074585
                  41,            0.079849,            0.097107,                   0,             0.11139,            0.095238,            0.043938,            0.010211,             0.11372,             0.15714,                   0,            0.024626,           0.0076262,           0.0076262
                  42,            0.098026,            0.082219,                   0,             0.11139,            0.095238,            0.043938,            0.010211,             0.11372,             0.15714,                   0,            0.022793,           0.0077931,           0.0077931
                  43,            0.097023,            0.079884,                   0,             0.22286,             0.19048,             0.11514,            0.029807,            0.093147,              0.1767,                   0,            0.020959,           0.0079593,           0.0079593
                  44,            0.076267,             0.10695,                   0,             0.22286,             0.19048,             0.11514,            0.029807,            0.093147,              0.1767,                   0,            0.019125,           0.0081246,           0.0081246
                  45,             0.07356,            0.090738,                   0,             0.15313,             0.25397,            0.086505,            0.021936,             0.10859,             0.14582,                   0,            0.017289,           0.0082892,           0.0082892
                  46,            0.094381,            0.090119,                   0,             0.15313,             0.25397,            0.086505,            0.021936,             0.10859,             0.14582,                   0,            0.015453,            0.008453,            0.008453
                  47,            0.096516,             0.07519,                   0,            0.098271,             0.21905,            0.087709,            0.030057,            0.098437,             0.14638,                   0,            0.013616,           0.0086159,           0.0086159
                  48,            0.082489,            0.084381,                   0,            0.098271,             0.21905,            0.087709,            0.030057,            0.098437,             0.14638,                   0,            0.011778,           0.0087781,           0.0087781
                  49,            0.086022,              0.0979,                   0,             0.20657,             0.25125,             0.14433,             0.03538,             0.10731,             0.13322,                   0,           0.0099395,           0.0089395,           0.0089395
                  50,            0.098319,            0.070959,                   0,             0.20657,             0.25125,             0.14433,             0.03538,             0.10731,             0.13322,                   0,             0.00901,             0.00901,             0.00901
                  51,            0.099008,            0.084152,                   0,             0.21853,             0.38413,             0.16076,            0.045745,             0.10488,             0.12858,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.093977,            0.096689,                   0,             0.21853,             0.38413,             0.16076,            0.045745,             0.10488,             0.12858,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.091199,            0.097083,                   0,            0.090741,             0.43492,            0.066987,            0.018515,            0.081462,             0.15571,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.075921,             0.11623,                   0,            0.090741,             0.43492,            0.066987,            0.018515,            0.081462,             0.15571,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.075796,             0.11381,                   0,             0.29407,             0.51045,             0.24947,            0.076644,            0.086267,             0.13901,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.070577,             0.12783,                   0,             0.29407,             0.51045,             0.24947,            0.076644,            0.086267,             0.13901,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.070838,             0.10627,                   0,             0.35597,             0.53651,              0.3273,            0.096191,            0.077562,              0.1342,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.072616,            0.089959,                   0,             0.35597,             0.53651,              0.3273,            0.096191,            0.077562,              0.1342,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.073195,            0.083788,                   0,             0.16222,                 0.4,             0.13982,            0.041337,            0.094732,             0.13769,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,             0.07835,             0.10636,                   0,             0.16222,                 0.4,             0.13982,            0.041337,            0.094732,             0.13769,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.077841,            0.094041,                   0,             0.34084,             0.46667,              0.2814,            0.063652,            0.078402,             0.13441,                   0,            0.008812,            0.008812,            0.008812
