               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13266,             0.11159,                   0,           0.0011111,           0.0056497,          0.00056207,          0.00011241,            0.086479,              0.1895,                   0,                 0.1,                   0,                   0
                   1,             0.12997,             0.10977,                   0,           0.0022222,            0.011299,           0.0011459,          0.00011459,            0.088431,              0.1656,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.12792,             0.10063,                   0,           0.0022222,            0.011299,           0.0011454,          0.00011454,            0.088399,             0.16588,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.12779,             0.12408,                   0,           0.0011111,           0.0056497,          0.00058457,          5.8457e-05,              0.0883,             0.16678,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13072,             0.11654,                   0,           0.0011111,           0.0056497,          0.00060868,          0.00012174,            0.088064,             0.16851,                   0,            0.096397,          0.00039683,          0.00039683
                   5,                0.13,             0.12246,                   0,           0.0022222,            0.011299,           0.0011891,          0.00018137,            0.087685,             0.17165,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.12959,             0.10776,                   0,           0.0022222,            0.011299,           0.0012313,          0.00024626,            0.087256,             0.17534,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.13074,             0.12775,                   0,           0.0022222,            0.011299,           0.0013479,          0.00019208,            0.086768,             0.17871,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.12874,             0.12312,                   0,           0.0033333,            0.016949,           0.0020747,          0.00020747,             0.08628,             0.18267,                   0,            0.092787,          0.00078733,          0.00078733
                   9,              0.1235,             0.11088,                   0,           0.0033333,            0.016949,           0.0020925,          0.00026794,            0.085543,             0.18862,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.12816,             0.12809,                   0,                   0,                   0,                   0,                   0,            0.084976,             0.19171,                   0,             0.09098,           0.0009802,           0.0009802
