               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13266,             0.11159,                   0,           0.0011111,           0.0056497,          0.00056207,          0.00011241,            0.086479,              0.1895,                   0,                 0.1,                   0,                   0
                   1,             0.12997,             0.10977,                   0,           0.0022222,            0.011299,           0.0011459,          0.00011459,            0.088431,              0.1656,                   0,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.12792,             0.10061,                   0,           0.0022222,            0.011299,           0.0011457,          0.00011457,            0.088401,             0.16589,                   0,            0.098196,          0.00019604,          0.00019604
                   3,             0.12774,             0.12426,                   0,           0.0011111,           0.0056497,          0.00058457,          5.8457e-05,            0.088282,             0.16698,                   0,            0.097291,          0.00029109,          0.00029109
                   4,             0.13064,             0.11691,                   0,           0.0011111,           0.0056497,          0.00060807,          0.00012161,             0.08802,             0.16901,                   0,            0.096384,          0.00038416,          0.00038416
                   5,             0.13004,             0.12229,                   0,           0.0022222,            0.011299,           0.0011838,          0.00018036,            0.087649,             0.17206,                   0,            0.095475,          0.00047525,          0.00047525
                   6,             0.12974,             0.10716,                   0,           0.0022222,            0.011299,           0.0012213,          0.00024426,             0.08726,             0.17538,                   0,            0.094564,          0.00056436,          0.00056436
                   7,             0.13074,             0.12835,                   0,           0.0022222,            0.011299,           0.0012832,          0.00024278,            0.086872,             0.17809,                   0,            0.093651,          0.00065149,          0.00065149
                   8,             0.12847,             0.12414,                   0,           0.0033333,            0.016949,           0.0020104,          0.00031803,            0.086466,             0.18108,                   0,            0.092737,          0.00073664,          0.00073664
                   9,             0.12445,             0.10864,                   0,           0.0033333,            0.016949,            0.002122,           0.0002122,            0.086062,             0.18413,                   0,             0.09182,          0.00081981,          0.00081981
                  10,             0.12877,             0.12553,                   0,           0.0033333,            0.016949,           0.0020449,          0.00026078,            0.085787,             0.18538,                   0,            0.090901,            0.000901,            0.000901
                  11,             0.12499,              0.1258,                   0,           0.0022222,            0.011299,           0.0012408,          0.00018674,            0.084915,             0.19492,                   0,             0.08998,          0.00098021,          0.00098021
                  12,             0.12501,             0.12168,                   0,           0.0022222,            0.011299,           0.0012222,          0.00017867,            0.084359,             0.19804,                   0,            0.089057,           0.0010574,           0.0010574
                  13,             0.12662,             0.12328,                   0,           0.0022222,            0.011299,           0.0013386,          0.00034477,            0.083694,             0.20029,                   0,            0.088133,           0.0011327,           0.0011327
                  14,             0.12174,             0.12057,                   0,           0.0033333,            0.016949,           0.0028065,          0.00063176,            0.084225,             0.19478,                   0,            0.087206,            0.001206,            0.001206
                  15,              0.1245,             0.13985,                   0,           0.0022222,            0.011299,           0.0041856,           0.0018962,             0.08403,             0.19444,                   0,            0.086277,           0.0012772,           0.0012772
                  16,              0.1205,             0.12276,                   0,           0.0011111,           0.0056497,           0.0012674,          0.00076045,            0.083629,             0.19683,                   0,            0.085347,           0.0013466,           0.0013466
                  17,             0.11874,             0.10872,                   0,           0.0011111,           0.0056497,           0.0012674,          0.00076045,            0.083629,             0.19683,                   0,            0.084414,           0.0014139,           0.0014139
                  18,             0.12027,             0.11968,                   0,            0.016157,           0.0056497,           0.0055531,           0.0011106,            0.085007,             0.18798,                   0,            0.083479,           0.0014792,           0.0014792
