               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11854,            0.079824,                   0,            0.013333,            0.063492,           0.0079537,           0.0022596,             0.10841,            0.075658,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.10329,            0.095497,                   0,            0.018611,             0.15193,            0.012926,           0.0033742,            0.087958,            0.088548,                   0,            0.082881,           0.0018812,           0.0018812
                   2,            0.087038,             0.11206,                   0,            0.090746,             0.12018,            0.048966,            0.012536,            0.075161,            0.093313,                   0,            0.073843,           0.0028426,           0.0028426
                   3,            0.084943,             0.11609,                   0,             0.24772,             0.22222,               0.122,            0.036888,            0.072297,            0.094761,                   0,            0.064784,           0.0037842,           0.0037842
                   4,            0.075529,              0.1171,                   0,             0.22557,             0.21542,             0.13888,            0.044041,            0.069141,            0.095708,                   0,            0.055706,            0.004706,            0.004706
                   5,            0.070328,             0.10461,                   0,             0.15914,             0.27664,             0.11935,            0.032315,            0.071229,            0.082739,                   0,            0.046608,           0.0056079,           0.0056079
                   6,            0.070861,               0.132,                   0,             0.14796,             0.33333,             0.15514,             0.04372,            0.067916,            0.080238,                   0,             0.03749,           0.0064901,           0.0064901
                   7,             0.06546,            0.094778,                   0,              0.1797,             0.33787,             0.15858,            0.047352,            0.072828,            0.076895,                   0,            0.028353,           0.0073525,           0.0073525
                   8,            0.062115,            0.097954,                   0,             0.21848,             0.36961,             0.19367,            0.057628,            0.071859,            0.075154,                   0,            0.019195,           0.0081951,           0.0081951
                   9,            0.064732,             0.10166,                   0,             0.35161,             0.36961,             0.31356,             0.10426,             0.06831,             0.08078,                   0,            0.010018,           0.0090179,           0.0090179
                  10,            0.063627,            0.096934,                   0,              0.3226,             0.49433,             0.32039,              0.1174,            0.063009,            0.077908,                   0,             0.00901,             0.00901,             0.00901
                  11,            0.058995,            0.085424,                   0,             0.34007,             0.38776,             0.28471,            0.092163,             0.06376,             0.07552,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.059634,             0.08812,                   0,             0.37705,             0.52834,             0.38996,              0.1139,            0.062086,            0.084048,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.054119,            0.088701,                   0,             0.43576,             0.53061,             0.39608,             0.15785,            0.062695,            0.081197,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.053188,             0.08225,                   0,             0.47597,             0.57596,             0.46653,             0.16142,            0.055442,            0.084354,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.055062,            0.083895,                   0,             0.56619,             0.45125,              0.4949,             0.18108,            0.061639,            0.075807,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.053513,            0.096295,                   0,             0.51936,             0.65306,             0.53517,             0.16858,            0.056437,            0.077559,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.047341,            0.086594,                   0,             0.51677,             0.68934,             0.55087,             0.24113,            0.048246,            0.081379,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.04574,            0.083743,                   0,             0.59971,             0.62812,             0.56076,             0.22032,            0.048885,            0.078791,                   0,            0.008317,            0.008317,            0.008317
