               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14785,            0.044806,                   0,                   0,                   0,                   0,                   0,            0.053316,            0.034412,                   0,                 0.1,                   0,                   0
                   1,            0.098253,            0.045679,                   0,                   0,                   0,                   0,                   0,            0.053806,            0.034557,                   0,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.09877,            0.047612,                   0,                   0,                   0,                   0,                   0,            0.053661,            0.034443,                   0,            0.098196,          0.00019604,          0.00019604
                   3,             0.14186,            0.056656,                   0,                   0,                   0,                   0,                   0,            0.053544,            0.034245,                   0,            0.097291,          0.00029109,          0.00029109
                   4,             0.14652,            0.047763,                   0,                   0,                   0,                   0,                   0,            0.053441,            0.034061,                   0,            0.096384,          0.00038416,          0.00038416
                   5,             0.13873,            0.058597,                   0,                   0,                   0,                   0,                   0,             0.05329,            0.033691,                   0,            0.095475,          0.00047525,          0.00047525
                   6,             0.14206,            0.049194,                   0,                   0,                   0,                   0,                   0,            0.053168,             0.03363,                   0,            0.094564,          0.00056436,          0.00056436
                   7,             0.13978,            0.051284,                   0,                   0,                   0,                   0,                   0,            0.053146,            0.033085,                   0,            0.093651,          0.00065149,          0.00065149
                   8,             0.13974,            0.049604,                   0,                   0,                   0,                   0,                   0,            0.053151,            0.032463,                   0,            0.092737,          0.00073664,          0.00073664
                   9,             0.14589,            0.048781,                   0,                   0,                   0,                   0,                   0,            0.053103,             0.03186,                   0,             0.09182,          0.00081981,          0.00081981
                  10,            0.096047,            0.050736,                   0,                   0,                   0,                   0,                   0,            0.053059,            0.031254,                   0,            0.090901,            0.000901,            0.000901
                  11,            0.099141,            0.037926,                   0,                   0,                   0,                   0,                   0,             0.05297,            0.030502,                   0,             0.08998,          0.00098021,          0.00098021
                  12,             0.13308,            0.063827,                   0,                   0,                   0,                   0,                   0,            0.052972,            0.030056,                   0,            0.089057,           0.0010574,           0.0010574
                  13,             0.13662,            0.052679,                   0,                   0,                   0,                   0,                   0,            0.053065,            0.029522,                   0,            0.088133,           0.0011327,           0.0011327
                  14,             0.14236,            0.045219,                   0,                   0,                   0,                   0,                   0,             0.05314,            0.028717,                   0,            0.087206,            0.001206,            0.001206
                  15,             0.14631,            0.046346,                   0,                   0,                   0,                   0,                   0,            0.053273,            0.028492,                   0,            0.086277,           0.0012772,           0.0012772
                  16,             0.13553,            0.044772,                   0,                   0,                   0,                   0,                   0,            0.053407,            0.028229,                   0,            0.085347,           0.0013466,           0.0013466
                  17,            0.094905,            0.050321,                   0,                   0,                   0,                   0,                   0,            0.053407,            0.028229,                   0,            0.084414,           0.0014139,           0.0014139
                  18,             0.13549,            0.058566,                   0,                   0,                   0,                   0,                   0,             0.05329,            0.027676,                   0,            0.083479,           0.0014792,           0.0014792
                  19,             0.14239,            0.037874,                   0,                   0,                   0,                   0,                   0,             0.05329,            0.027676,                   0,            0.082543,           0.0015426,           0.0015426
                  20,            0.093694,            0.044048,                   0,                   0,                   0,                   0,                   0,            0.053573,               0.027,                   0,            0.081604,            0.001604,            0.001604
                  21,             0.13728,            0.057636,                   0,                   0,                   0,                   0,                   0,            0.053573,               0.027,                   0,            0.080663,           0.0016634,           0.0016634
                  22,             0.09788,            0.042927,                   0,                   0,                   0,                   0,                   0,            0.053505,            0.025974,                   0,            0.079721,           0.0017208,           0.0017208
                  23,             0.13642,            0.054876,                   0,                   0,                   0,                   0,                   0,            0.053505,            0.025974,                   0,            0.078776,           0.0017763,           0.0017763
                  24,             0.13329,            0.039111,                   0,                   0,                   0,                   0,                   0,            0.052384,            0.023342,                   0,             0.07783,           0.0018298,           0.0018298
                  25,             0.13278,            0.043109,                   0,                   0,                   0,                   0,                   0,            0.052384,            0.023342,                   0,            0.076881,           0.0018812,           0.0018812
                  26,             0.13629,            0.047744,                   0,                   0,                   0,                   0,                   0,            0.052197,            0.021107,                   0,            0.075931,           0.0019308,           0.0019308
                  27,             0.13088,            0.072231,                   0,                   0,                   0,                   0,                   0,            0.052197,            0.021107,                   0,            0.074978,           0.0019783,           0.0019783
                  28,             0.13461,             0.04636,                   0,                   0,                   0,                   0,                   0,            0.053007,             0.01952,                   0,            0.074024,           0.0020238,           0.0020238
                  29,            0.091643,            0.041974,                   0,                   0,                   0,                   0,                   0,            0.053007,             0.01952,                   0,            0.073067,           0.0020674,           0.0020674
                  30,             0.12528,            0.045105,                   0,                   0,                   0,                   0,                   0,            0.053118,            0.018692,                   0,            0.072109,            0.002109,            0.002109
                  31,             0.12829,            0.050819,                   0,                   0,                   0,                   0,                   0,            0.053118,            0.018692,                   0,            0.071149,           0.0021486,           0.0021486
                  32,             0.14079,            0.036731,                   0,                   0,                   0,                   0,                   0,            0.052986,            0.018059,                   0,            0.070186,           0.0021862,           0.0021862
                  33,            0.090327,            0.036731,                   0,                   0,                   0,                   0,                   0,            0.052986,            0.018059,                   0,            0.069222,           0.0022219,           0.0022219
                  34,              0.1318,            0.053787,                   0,                   0,                   0,                   0,                   0,            0.052009,            0.017437,                   0,            0.068256,           0.0022556,           0.0022556
                  35,             0.12295,            0.056401,                   0,                   0,                   0,                   0,                   0,            0.052009,            0.017437,                   0,            0.067287,           0.0022873,           0.0022873
                  36,             0.13631,            0.037896,                   0,                   0,                   0,                   0,                   0,            0.052173,            0.017248,                   0,            0.066317,            0.002317,            0.002317
                  37,             0.12522,            0.046251,                   0,                   0,                   0,                   0,                   0,            0.052173,            0.017248,                   0,            0.065345,           0.0023447,           0.0023447
                  38,            0.089879,            0.049592,                   0,                   0,                   0,                   0,                   0,            0.052464,            0.017401,                   0,             0.06437,           0.0023704,           0.0023704
                  39,              0.1273,            0.051115,                   0,                   0,                   0,                   0,                   0,            0.052464,            0.017401,                   0,            0.063394,           0.0023942,           0.0023942
                  40,             0.13605,            0.040919,                   0,                   0,                   0,                   0,                   0,            0.052772,            0.018791,                   0,            0.062416,            0.002416,            0.002416
                  41,             0.12785,            0.040521,                   0,                   0,                   0,                   0,                   0,            0.052772,            0.018791,                   0,            0.061436,           0.0024358,           0.0024358
                  42,            0.090023,            0.037149,                   0,                   0,                   0,                   0,                   0,            0.052405,            0.018581,                   0,            0.060454,           0.0024536,           0.0024536
                  43,              0.1289,            0.036068,                   0,                   0,                   0,                   0,                   0,            0.052405,            0.018581,                   0,            0.059469,           0.0024695,           0.0024695
                  44,            0.091141,            0.048065,                   0,                   0,                   0,                   0,                   0,            0.052382,            0.018427,                   0,            0.058483,           0.0024834,           0.0024834
                  45,             0.13022,            0.034031,                   0,                   0,                   0,                   0,                   0,            0.052382,            0.018427,                   0,            0.057495,           0.0024953,           0.0024953
                  46,             0.12832,            0.042639,                   0,                   0,                   0,                   0,                   0,            0.052137,            0.018297,                   0,            0.056505,           0.0025052,           0.0025052
                  47,            0.091762,            0.028148,                   0,                   0,                   0,                   0,                   0,            0.052137,            0.018297,                   0,            0.055513,           0.0025131,           0.0025131
                  48,            0.091882,             0.03211,                   0,                   0,                   0,                   0,                   0,            0.051992,            0.018013,                   0,            0.054519,            0.002519,            0.002519
                  49,             0.12815,            0.030418,                   0,                   0,                   0,                   0,                   0,            0.051992,            0.018013,                   0,            0.053523,            0.002523,            0.002523
                  50,            0.093857,            0.030941,                   0,                   0,                   0,                   0,                   0,             0.05171,            0.017019,                   0,            0.052525,            0.002525,            0.002525
                  51,             0.12622,            0.037966,                   0,                   0,                   0,                   0,                   0,             0.05171,            0.017019,                   0,            0.051525,            0.002525,            0.002525
                  52,             0.09208,            0.041413,                   0,                   0,                   0,                   0,                   0,             0.05171,            0.017019,                   0,            0.050523,            0.002523,            0.002523
                  53,             0.12767,            0.036375,                   0,                   0,                   0,                   0,                   0,            0.051794,            0.016291,                   0,            0.049519,           0.0025191,           0.0025191
                  54,             0.13241,            0.033263,                   0,                   0,                   0,                   0,                   0,            0.051794,            0.016291,                   0,            0.048513,           0.0025132,           0.0025132
                  55,             0.13352,            0.053875,                   0,                   0,                   0,                   0,                   0,            0.051794,            0.016291,                   0,            0.047505,           0.0025053,           0.0025053
                  56,             0.12705,             0.04544,                   0,                   0,                   0,                   0,                   0,            0.052364,             0.01708,                   0,            0.046495,           0.0024954,           0.0024954
                  57,             0.12541,            0.059094,                   0,                   0,                   0,                   0,                   0,            0.052364,             0.01708,                   0,            0.045483,           0.0024835,           0.0024835
                  58,            0.089211,            0.042705,                   0,                   0,                   0,                   0,                   0,            0.052364,             0.01708,                   0,             0.04447,           0.0024696,           0.0024696
                  59,              0.1274,            0.044162,                   0,                   0,                   0,                   0,                   0,            0.051785,            0.016109,                   0,            0.043454,           0.0024538,           0.0024538
                  60,             0.12931,            0.038691,                   0,                   0,                   0,                   0,                   0,            0.051785,            0.016109,                   0,            0.042436,            0.002436,            0.002436
                  61,            0.092185,            0.033404,                   0,                   0,                   0,                   0,                   0,            0.051785,            0.016109,                   0,            0.041416,           0.0024162,           0.0024162
                  62,             0.12372,            0.036047,                   0,                   0,                   0,                   0,                   0,            0.052756,            0.016026,                   0,            0.040394,           0.0023944,           0.0023944
                  63,            0.090153,            0.037308,                   0,                   0,                   0,                   0,                   0,            0.052756,            0.016026,                   0,            0.039371,           0.0023707,           0.0023707
                  64,             0.12514,            0.035349,                   0,                   0,                   0,                   0,                   0,            0.052756,            0.016026,                   0,            0.038345,            0.002345,            0.002345
                  65,              0.1303,            0.047076,                   0,                   0,                   0,                   0,                   0,            0.052655,            0.016848,                   0,            0.037317,           0.0023172,           0.0023172
                  66,            0.092969,            0.029657,                   0,                   0,                   0,                   0,                   0,            0.052655,            0.016848,                   0,            0.036288,           0.0022876,           0.0022876
                  67,             0.12327,            0.040103,                   0,                   0,                   0,                   0,                   0,            0.052655,            0.016848,                   0,            0.035256,           0.0022559,           0.0022559
                  68,            0.089136,            0.044594,                   0,                   0,                   0,                   0,                   0,             0.05205,            0.016409,                   0,            0.034222,           0.0022222,           0.0022222
                  69,            0.088168,            0.050599,                   0,                   0,                   0,                   0,                   0,             0.05205,            0.016409,                   0,            0.033187,           0.0021866,           0.0021866
                  70,             0.13245,            0.033043,                   0,                   0,                   0,                   0,                   0,             0.05205,            0.016409,                   0,            0.032149,            0.002149,            0.002149
                  71,            0.087207,            0.034435,                   0,                   0,                   0,                   0,                   0,            0.052337,            0.017155,                   0,            0.031109,           0.0021094,           0.0021094
                  72,            0.086625,            0.036623,                   0,                   0,                   0,                   0,                   0,            0.052337,            0.017155,                   0,            0.030068,           0.0020678,           0.0020678
                  73,             0.11845,            0.053233,                   0,                   0,                   0,                   0,                   0,            0.052337,            0.017155,                   0,            0.029024,           0.0020243,           0.0020243
                  74,             0.12045,            0.040676,                   0,                   0,                   0,                   0,                   0,            0.051892,            0.017656,                   0,            0.027979,           0.0019788,           0.0019788
                  75,             0.11814,            0.036559,                   0,                   0,                   0,                   0,                   0,            0.051892,            0.017656,                   0,            0.026931,           0.0019313,           0.0019313
                  76,             0.13167,            0.037221,                   0,                   0,                   0,                   0,                   0,            0.051892,            0.017656,                   0,            0.025882,           0.0018818,           0.0018818
                  77,             0.12454,             0.04519,                   0,                   0,                   0,                   0,                   0,             0.05106,            0.017342,                   0,             0.02483,           0.0018303,           0.0018303
                  78,             0.12627,            0.039971,                   0,                   0,                   0,                   0,                   0,             0.05106,            0.017342,                   0,            0.023777,           0.0017768,           0.0017768
                  79,             0.12324,            0.037806,                   0,                   0,                   0,                   0,                   0,             0.05106,            0.017342,                   0,            0.022721,           0.0017214,           0.0017214
                  80,             0.12487,            0.032518,                   0,                   0,                   0,                   0,                   0,            0.051944,            0.016903,                   0,            0.021664,            0.001664,            0.001664
                  81,             0.12096,            0.033029,                   0,                   0,                   0,                   0,                   0,            0.051944,            0.016903,                   0,            0.020605,           0.0016046,           0.0016046
                  82,             0.11891,            0.041545,                   0,                   0,                   0,                   0,                   0,            0.051944,            0.016903,                   0,            0.019543,           0.0015432,           0.0015432
                  83,            0.086193,            0.039501,                   0,                   0,                   0,                   0,                   0,            0.051962,            0.016443,                   0,             0.01848,           0.0014799,           0.0014799
                  84,             0.12559,            0.025452,                   0,                   0,                   0,                   0,                   0,            0.051962,            0.016443,                   0,            0.017415,           0.0014146,           0.0014146
                  85,             0.11971,             0.05354,                   0,                   0,                   0,                   0,                   0,            0.051962,            0.016443,                   0,            0.016347,           0.0013473,           0.0013473
                  86,            0.089199,            0.038918,                   0,                   0,                   0,                   0,                   0,            0.051962,            0.016443,                   0,            0.015278,            0.001278,            0.001278
                  87,            0.088965,            0.028179,                   0,                   0,                   0,                   0,                   0,            0.051878,            0.016491,                   0,            0.014207,           0.0012067,           0.0012067
                  88,             0.09013,            0.034064,                   0,                   0,                   0,                   0,                   0,            0.051878,            0.016491,                   0,            0.013133,           0.0011334,           0.0011334
                  89,             0.12305,            0.045478,                   0,                   0,                   0,                   0,                   0,            0.051878,            0.016491,                   0,            0.012058,           0.0010582,           0.0010582
                  90,              0.1192,            0.041638,                   0,                   0,                   0,                   0,                   0,            0.051878,            0.016491,                   0,            0.010981,            0.000981,            0.000981
                  91,             0.08915,            0.032421,                   0,                   0,                   0,                   0,                   0,            0.051801,            0.016201,                   0,           0.0099018,          0.00090181,          0.00090181
                  92,            0.088113,            0.028714,                   0,                   0,                   0,                   0,                   0,            0.051801,            0.016201,                   0,           0.0088206,          0.00082064,          0.00082064
                  93,             0.12093,            0.037652,                   0,                   0,                   0,                   0,                   0,            0.051801,            0.016201,                   0,           0.0077375,          0.00073749,          0.00073749
                  94,             0.08499,            0.035194,                   0,                   0,                   0,                   0,                   0,            0.051801,            0.016201,                   0,           0.0066524,          0.00065236,          0.00065236
                  95,            0.086682,            0.026066,                   0,                   0,                   0,                   0,                   0,            0.051798,            0.016293,                   0,           0.0055653,          0.00056525,          0.00056525
                  96,             0.12939,             0.03529,                   0,                   0,                   0,                   0,                   0,            0.051798,            0.016293,                   0,           0.0044762,          0.00047616,          0.00047616
                  97,             0.12054,            0.038037,                   0,                   0,                   0,                   0,                   0,            0.051798,            0.016293,                   0,           0.0033851,          0.00038509,          0.00038509
                  98,             0.08759,            0.025969,                   0,                   0,                   0,                   0,                   0,            0.051798,            0.016293,                   0,            0.002292,          0.00029204,          0.00029204
                  99,             0.12069,            0.040635,                   0,                   0,                   0,                   0,                   0,            0.051834,            0.016447,                   0,            0.001197,          0.00019701,          0.00019701
