               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.05588,            0.098614,                   0,              0.2018,             0.13228,            0.088361,            0.021883,            0.040953,            0.050999,                   0,            0.065514,           0.0035141,           0.0035141
                  39,            0.050676,            0.083881,                   0,              0.2018,             0.13228,            0.088361,            0.021883,            0.040953,            0.050999,                   0,            0.064599,           0.0035988,           0.0035988
                  40,            0.050069,            0.067869,                   0,             0.22527,              0.1746,              0.1094,            0.024751,            0.040425,            0.050887,                   0,            0.063683,           0.0036832,           0.0036832
                  41,            0.057265,            0.081778,                   0,             0.22527,              0.1746,              0.1094,            0.024751,            0.040425,            0.050887,                   0,            0.062767,           0.0037672,           0.0037672
                  42,            0.054572,            0.050527,                   0,             0.21572,              0.1746,             0.10569,            0.020987,            0.039969,            0.050319,                   0,            0.061851,           0.0038507,           0.0038507
                  43,            0.051494,            0.070906,                   0,             0.21572,              0.1746,             0.10569,            0.020987,            0.039969,            0.050319,                   0,            0.060934,           0.0039339,           0.0039339
                  44,            0.055547,            0.094412,                   0,              0.2304,             0.17989,             0.10679,            0.022685,            0.039654,            0.050494,                   0,            0.060017,           0.0040167,           0.0040167
                  45,            0.055393,            0.064513,                   0,              0.2304,             0.17989,             0.10679,            0.022685,            0.039654,            0.050494,                   0,            0.059099,           0.0040991,           0.0040991
                  46,            0.047239,            0.068629,                   0,             0.23827,             0.16402,            0.092692,            0.021473,            0.039402,            0.050514,                   0,            0.058181,            0.004181,            0.004181
                  47,             0.04616,             0.05188,                   0,             0.23827,             0.16402,            0.092692,            0.021473,            0.039402,            0.050514,                   0,            0.057263,           0.0042626,           0.0042626
                  48,            0.034663,            0.053846,                   0,             0.22042,             0.15111,             0.10597,            0.021222,            0.039094,            0.049881,                   0,            0.056344,           0.0043438,           0.0043438
                  49,             0.06042,            0.057933,                   0,             0.22042,             0.15111,             0.10597,            0.021222,            0.039094,            0.049881,                   0,            0.055425,           0.0044246,           0.0044246
                  50,            0.038965,            0.058496,                   0,             0.23019,             0.18519,             0.11309,            0.022634,            0.039009,            0.048985,                   0,            0.054505,            0.004505,            0.004505
                  51,            0.057205,            0.084031,                   0,             0.23019,             0.18519,             0.11309,            0.022634,            0.039009,            0.048985,                   0,            0.053585,            0.004585,            0.004585
                  52,            0.037922,            0.069782,                   0,             0.23019,             0.18519,             0.11309,            0.022634,            0.039009,            0.048985,                   0,            0.052665,           0.0046646,           0.0046646
                  53,            0.050778,            0.062936,                   0,             0.21656,             0.16089,             0.10967,            0.021965,            0.038813,            0.048627,                   0,            0.051744,           0.0047438,           0.0047438
                  54,            0.054091,            0.069817,                   0,             0.21656,             0.16089,             0.10967,            0.021965,            0.038813,            0.048627,                   0,            0.050823,           0.0048226,           0.0048226
                  55,            0.051972,            0.089424,                   0,             0.21656,             0.16089,             0.10967,            0.021965,            0.038813,            0.048627,                   0,            0.049901,           0.0049011,           0.0049011
                  56,            0.060101,             0.09955,                   0,             0.30351,             0.15344,             0.12344,            0.030701,            0.038645,            0.049257,                   0,            0.048979,           0.0049791,           0.0049791
                  57,             0.05234,            0.091508,                   0,             0.30351,             0.15344,             0.12344,            0.030701,            0.038645,            0.049257,                   0,            0.048057,           0.0050567,           0.0050567
                  58,            0.038514,            0.084835,                   0,             0.30351,             0.15344,             0.12344,            0.030701,            0.038645,            0.049257,                   0,            0.047134,           0.0051339,           0.0051339
                  59,            0.052451,            0.074557,                   0,             0.22885,             0.19048,             0.12701,            0.033999,            0.038722,            0.050764,                   0,            0.046211,           0.0052108,           0.0052108
                  60,            0.051203,            0.076445,                   0,             0.22885,             0.19048,             0.12701,            0.033999,            0.038722,            0.050764,                   0,            0.045287,           0.0052872,           0.0052872
                  61,              0.0572,            0.064605,                   0,             0.22885,             0.19048,             0.12701,            0.033999,            0.038722,            0.050764,                   0,            0.044363,           0.0053632,           0.0053632
                  62,            0.053995,            0.054293,                   0,             0.23917,             0.20106,             0.12914,            0.033623,            0.038125,            0.051618,                   0,            0.043439,           0.0054389,           0.0054389
                  63,            0.041545,            0.087451,                   0,             0.23917,             0.20106,             0.12914,            0.033623,            0.038125,            0.051618,                   0,            0.042514,           0.0055141,           0.0055141
                  64,            0.048326,            0.061804,                   0,             0.23917,             0.20106,             0.12914,            0.033623,            0.038125,            0.051618,                   0,            0.041589,            0.005589,            0.005589
                  65,            0.049487,            0.087578,                   0,             0.27899,             0.20635,             0.13151,            0.033779,            0.037685,            0.051464,                   0,            0.040663,           0.0056635,           0.0056635
                  66,            0.039701,            0.059776,                   0,             0.27899,             0.20635,             0.13151,            0.033779,            0.037685,            0.051464,                   0,            0.039738,           0.0057375,           0.0057375
                  67,            0.056066,            0.078657,                   0,             0.27899,             0.20635,             0.13151,            0.033779,            0.037685,            0.051464,                   0,            0.038811,           0.0058112,           0.0058112
                  68,            0.043621,            0.078701,                   0,             0.27833,             0.19048,             0.11264,            0.026275,            0.037723,            0.051332,                   0,            0.037884,           0.0058844,           0.0058844
                  69,            0.051792,            0.099003,                   0,             0.27833,             0.19048,             0.11264,            0.026275,            0.037723,            0.051332,                   0,            0.036957,           0.0059573,           0.0059573
                  70,            0.061346,            0.070656,                   0,             0.27833,             0.19048,             0.11264,            0.026275,            0.037723,            0.051332,                   0,             0.03603,           0.0060298,           0.0060298
                  71,            0.044669,            0.087507,                   0,             0.29714,             0.22222,             0.12324,             0.03035,            0.038433,            0.049308,                   0,            0.035102,           0.0061019,           0.0061019
                  72,            0.058642,            0.068987,                   0,             0.29714,             0.22222,             0.12324,             0.03035,            0.038433,            0.049308,                   0,            0.034174,           0.0061736,           0.0061736
                  73,            0.053043,            0.086856,                   0,             0.29714,             0.22222,             0.12324,             0.03035,            0.038433,            0.049308,                   0,            0.033245,           0.0062449,           0.0062449
                  74,            0.056801,            0.082728,                   0,             0.26996,             0.20106,              0.1145,            0.027532,            0.038735,            0.047918,                   0,            0.032316,           0.0063158,           0.0063158
                  75,            0.049491,            0.068752,                   0,             0.26996,             0.20106,              0.1145,            0.027532,            0.038735,            0.047918,                   0,            0.031386,           0.0063862,           0.0063862
                  76,            0.061147,            0.089514,                   0,             0.26996,             0.20106,              0.1145,            0.027532,            0.038735,            0.047918,                   0,            0.030456,           0.0064564,           0.0064564
                  77,            0.055929,            0.095205,                   0,             0.24122,             0.17989,             0.11293,            0.027336,             0.03905,            0.047967,                   0,            0.029526,           0.0065261,           0.0065261
                  78,            0.057949,            0.073225,                   0,             0.24122,             0.17989,             0.11293,            0.027336,             0.03905,            0.047967,                   0,            0.028595,           0.0065954,           0.0065954
                  79,             0.04939,            0.069418,                   0,             0.24122,             0.17989,             0.11293,            0.027336,             0.03905,            0.047967,                   0,            0.027664,           0.0066643,           0.0066643
                  80,            0.053201,            0.057362,                   0,             0.22221,             0.18519,             0.10418,            0.028134,            0.039141,            0.048238,                   0,            0.026733,           0.0067328,           0.0067328
                  81,            0.047964,            0.064456,                   0,             0.22221,             0.18519,             0.10418,            0.028134,            0.039141,            0.048238,                   0,            0.025801,           0.0068009,           0.0068009
                  82,            0.053488,             0.07361,                   0,             0.22221,             0.18519,             0.10418,            0.028134,            0.039141,            0.048238,                   0,            0.024869,           0.0068686,           0.0068686
                  83,            0.050662,            0.078891,                   0,             0.25826,             0.17989,             0.11407,            0.028782,            0.039457,            0.049073,                   0,            0.023936,            0.006936,            0.006936
                  84,            0.063563,             0.05396,                   0,             0.25826,             0.17989,             0.11407,            0.028782,            0.039457,            0.049073,                   0,            0.023003,           0.0070029,           0.0070029
                  85,            0.048625,            0.082903,                   0,             0.25826,             0.17989,             0.11407,            0.028782,            0.039457,            0.049073,                   0,            0.022069,           0.0070694,           0.0070694
                  86,            0.033691,            0.061693,                   0,             0.25826,             0.17989,             0.11407,            0.028782,            0.039457,            0.049073,                   0,            0.021136,           0.0071356,           0.0071356
                  87,            0.059495,            0.059129,                   0,             0.27549,             0.21164,             0.13703,            0.040111,            0.039107,            0.048731,                   0,            0.020201,           0.0072013,           0.0072013
                  88,            0.033981,            0.071857,                   0,             0.27549,             0.21164,             0.13703,            0.040111,            0.039107,            0.048731,                   0,            0.019267,           0.0072667,           0.0072667
                  89,            0.053713,            0.063293,                   0,             0.27549,             0.21164,             0.13703,            0.040111,            0.039107,            0.048731,                   0,            0.018332,           0.0073316,           0.0073316
                  90,            0.055168,            0.076985,                   0,             0.27549,             0.21164,             0.13703,            0.040111,            0.039107,            0.048731,                   0,            0.017396,           0.0073962,           0.0073962
                  91,            0.055214,            0.076077,                   0,             0.26512,              0.2328,             0.14897,            0.034351,            0.039322,            0.047545,                   0,             0.01646,           0.0074604,           0.0074604
                  92,            0.060251,            0.077083,                   0,             0.26512,              0.2328,             0.14897,            0.034351,            0.039322,            0.047545,                   0,            0.015524,           0.0075241,           0.0075241
                  93,            0.071045,            0.061537,                   0,             0.26512,              0.2328,             0.14897,            0.034351,            0.039322,            0.047545,                   0,            0.014587,           0.0075875,           0.0075875
                  94,            0.066592,            0.064544,                   0,             0.26512,              0.2328,             0.14897,            0.034351,            0.039322,            0.047545,                   0,             0.01365,           0.0076505,           0.0076505
                  95,            0.038214,            0.043429,                   0,             0.27034,             0.22751,             0.13708,            0.033397,             0.03934,            0.046898,                   0,            0.012713,           0.0077131,           0.0077131
                  96,            0.067874,            0.070561,                   0,             0.27034,             0.22751,             0.13708,            0.033397,             0.03934,            0.046898,                   0,            0.011775,           0.0077752,           0.0077752
                  97,             0.07072,            0.065251,                   0,             0.27034,             0.22751,             0.13708,            0.033397,             0.03934,            0.046898,                   0,            0.010837,            0.007837,            0.007837
                  98,            0.041664,            0.054263,                   0,             0.27034,             0.22751,             0.13708,            0.033397,             0.03934,            0.046898,                   0,           0.0098984,           0.0078984,           0.0078984
                  99,            0.065074,            0.073324,                   0,             0.25254,             0.20635,             0.12315,            0.028346,            0.038977,            0.046967,                   0,           0.0089594,           0.0079594,           0.0079594
                 100,            0.068759,            0.084512,                   0,             0.25254,             0.20635,             0.12315,            0.028346,            0.038977,            0.046967,                   0,             0.00802,             0.00802,             0.00802
                 101,             0.04074,            0.060638,                   0,             0.25254,             0.20635,             0.12315,            0.028346,            0.038977,            0.046967,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.057224,            0.073687,                   0,             0.25254,             0.20635,             0.12315,            0.028346,            0.038977,            0.046967,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.065477,            0.067703,                   0,             0.18654,             0.16402,            0.080502,            0.019464,            0.039479,            0.046641,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.070524,            0.079599,                   0,             0.18654,             0.16402,            0.080502,            0.019464,            0.039479,            0.046641,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.079049,            0.066831,                   0,             0.18654,             0.16402,            0.080502,            0.019464,            0.039479,            0.046641,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.070381,            0.059566,                   0,             0.18654,             0.16402,            0.080502,            0.019464,            0.039479,            0.046641,                   0,            0.007921,            0.007921,            0.007921
                 107,             0.06098,            0.072245,                   0,             0.15868,             0.14815,             0.07106,            0.015663,            0.039742,            0.047195,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.067108,            0.065834,                   0,             0.15868,             0.14815,             0.07106,            0.015663,            0.039742,            0.047195,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.071698,            0.060719,                   0,             0.15868,             0.14815,             0.07106,            0.015663,            0.039742,            0.047195,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.057913,            0.073712,                   0,             0.15868,             0.14815,             0.07106,            0.015663,            0.039742,            0.047195,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.063916,            0.047391,                   0,                0.19,             0.18519,            0.095603,            0.021306,            0.039828,            0.045496,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.068255,            0.082366,                   0,                0.19,             0.18519,            0.095603,            0.021306,            0.039828,            0.045496,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.056803,            0.075053,                   0,                0.19,             0.18519,            0.095603,            0.021306,            0.039828,            0.045496,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.039111,            0.071034,                   0,                0.19,             0.18519,            0.095603,            0.021306,            0.039828,            0.045496,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.050108,            0.063273,                   0,             0.25884,             0.19577,             0.13561,            0.032393,            0.039307,            0.045579,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.064023,            0.068151,                   0,             0.25884,             0.19577,             0.13561,            0.032393,            0.039307,            0.045579,                   0,            0.007723,            0.007723,            0.007723
