               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052671,             0.15263,                   0,             0.82456,             0.64062,             0.72841,              0.2974,            0.040695,             0.11354,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.057541,             0.19997,                   0,             0.79875,              0.6875,             0.76443,              0.3171,             0.04018,             0.10776,                   0,            0.095495,          0.00049505,          0.00049505
                   2,            0.052593,             0.18986,                   0,             0.73011,             0.83594,             0.82283,             0.33394,            0.039784,            0.099464,                   0,            0.092784,          0.00078416,          0.00078416
                   3,            0.047251,             0.15087,                   0,             0.77225,             0.84375,             0.81236,             0.33047,            0.039376,             0.10395,                   0,            0.090067,           0.0010673,           0.0010673
                   4,            0.048026,              0.1648,                   0,             0.69235,             0.82633,             0.76654,             0.30672,            0.040515,             0.11286,                   0,            0.087345,           0.0013446,           0.0013446
                   5,               0.049,             0.14178,                   0,             0.68187,              0.8125,             0.75132,             0.31072,             0.04125,             0.11421,                   0,            0.084616,           0.0016158,           0.0016158
                   6,            0.046856,             0.13297,                   0,              0.6875,             0.84219,             0.76745,             0.31748,            0.040952,             0.10971,                   0,            0.081881,           0.0018812,           0.0018812
                   7,            0.044432,             0.12758,                   0,              0.6845,             0.78906,             0.75446,             0.31028,            0.040606,             0.10987,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.046394,             0.14345,                   0,             0.63925,             0.83594,              0.7603,             0.32513,            0.039553,             0.11138,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.045072,             0.12501,                   0,             0.73365,             0.85938,             0.79737,             0.34978,            0.038162,             0.10921,                   0,            0.073642,           0.0026416,           0.0026416
                  10,            0.046236,             0.12608,                   0,             0.74337,             0.88256,             0.85826,               0.386,            0.036807,            0.099986,                   0,            0.070883,           0.0028832,           0.0028832
                  11,              0.0434,             0.14011,                   0,             0.75587,               0.875,             0.84698,             0.38698,            0.036557,             0.10001,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.043201,             0.12514,                   0,             0.77245,             0.91406,             0.85502,             0.39025,            0.036614,            0.098038,                   0,            0.065349,           0.0033486,           0.0033486
                  13,            0.043237,             0.13677,                   0,             0.78695,             0.89844,             0.86188,             0.39878,            0.036215,            0.095829,                   0,            0.062572,           0.0035723,           0.0035723
                  14,             0.04052,             0.11643,                   0,             0.73701,             0.91955,             0.85066,             0.39111,            0.036031,            0.092511,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.041693,             0.11953,                   0,             0.72992,             0.89844,             0.84262,             0.40001,            0.035855,            0.091765,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.041188,             0.12269,                   0,             0.73968,             0.93236,             0.85001,             0.40741,            0.035291,            0.088331,                   0,            0.054208,            0.004208,            0.004208
                  17,             0.04286,             0.12571,                   0,             0.79467,              0.9375,             0.87607,             0.42076,            0.034727,            0.086182,                   0,            0.051408,            0.004408,            0.004408
                  18,            0.042912,             0.11129,                   0,             0.78968,             0.92188,             0.87935,             0.42546,            0.034766,            0.084951,                   0,            0.048602,           0.0046021,           0.0046021
                  19,             0.04225,               0.113,                   0,             0.76859,             0.89844,             0.86472,             0.42389,            0.035248,            0.083617,                   0,             0.04579,           0.0047902,           0.0047902
